Gene,UTR_5,nsp1_leader_protein,nsp2,nsp3_Ac_TM1_ADRP,nsp4_TM2,nsp5_3Clike_proteinase,nsp6_put_transmem,nsp7,nsp8,nsp9_ssRNA_bind,nsp10_GFL,nsp11,nsp12_RdRp_YP_009725307.,nsp13_helicase,nsp14_3,nsp15_endoRNAse,nsp16_2,S_protein,ORF3a,E_protein,M_protein,ORF6,ORF7a,ORF7b,ORF8,N_protein,ORF10,UTR_3
COVHA-20200311-P1-D08-P,400807,881190,2789620,7478050,1884398,1747705,1495679,687122,1295588,781170,963211,300315,289734,2549940,2378385,1810246,1091109,4726587,1108036,499691,1050196,458696,664431,382840,915476,3004741,450395,558058
COVHA-20200311-P1-E08-P,130890,307427,1039495,2714729,706195,655114,587005,248652,469826,293729,352102,107646,103362,897813,839298,633439,390080,1697934,387869,179269,368635,160042,233226,130037,302925,1078242,151685,187369
COVHA-20200311-P1-G01-P,213,457,1231,3555,860,655,662,295,482,310,461,117,113,996,994,701,412,1627,415,179,441,162,246,141,315,1215,184,201
COVHA-20200312-P2-B04-P,2179,6243,16967,44165,11211,10558,9469,4165,7917,4879,6247,1995,1932,15290,14635,11476,6759,29832,6912,3226,6196,2589,3287,1516,3453,15605,2382,3219
COVHA-20200312-P2-C01-P,324755,715817,2140167,5821561,1537809,1437039,1184887,539801,1040940,626139,789104,240889,231343,2100144,1984978,1501558,882316,3901553,895474,390325,817676,353331,521711,289950,709846,2453148,360744,450338
COVHA-20200312-P2-C03-P,14854,56500,161240,311489,85544,89910,83020,32614,68775,45454,63535,20957,19941,127856,113295,72812,38098,181216,43248,19923,41199,14343,18854,9456,24638,152482,17599,19365
COVHA-20200312-P2-D02-P,8873,22660,84875,214287,62924,58754,54793,21238,39196,25075,30995,9392,8652,89677,76672,57651,35811,155820,39463,21119,43902,13775,19585,10387,24820,99822,15310,18261
COVHA-20200312-P2-H03-P,70318,159302,494731,1354994,377334,318173,287946,125795,230932,142669,180978,57217,54829,473104,449939,341887,218880,899645,210814,85322,184779,81745,119455,67981,155483,541686,78887,97609
COVHA-20200312-P3-A06-N,15451,33207,106969,283839,81077,58263,56433,26460,42745,31100,36142,10080,9826,95245,93188,75659,46705,204663,48692,19787,46122,19612,25289,14801,34908,120860,19447,24157
COVHA-20200312-P3-B04-N,139309,250008,757799,2029654,549615,477933,412726,186599,350084,212699,265083,83986,81090,694352,661962,494181,315797,1377914,345570,147792,351643,155491,232617,129645,329661,1330870,210165,250774
COVHA-20200312-P3-E02-P,15687,32335,90197,197330,52699,44059,39798,15734,29779,18866,23557,7336,7022,56457,55163,37051,25782,122660,33616,15113,36151,14872,21474,12835,32083,132059,21463,24791
COVHA-20200312-P3-H04-N,495345,723018,2332021,6277118,1691012,1425986,1233898,528390,962273,595209,737317,231201,221905,1913525,1827132,1386399,937810,4023359,1021378,483490,1158882,559104,828272,477456,1223103,4743372,713324,850671
COVHA-20200313-P4-B06-P,3712,8562,26225,77121,21157,18488,15298,7600,14023,7741,9844,3234,3064,27612,27214,21040,12990,50507,11059,4853,9665,4757,6400,3664,8665,25787,4294,5356
