"","X5_UTR","nsp1_leader_protein_pp1a_pp1ab","nsp2_pp1a_pp1ab","nsp3_Ac_TM1_ADRP_pp1a_pp1ab","nsp4_TM2_pp1a_pp1ab","nsp5_3Clike_proteinase_pp1a_pp1ab","nsp6_putative_transmembrane_domain_pp1a_pp1ab","nsp7_pp1a_pp1ab","nsp8_pp1a_pp1ab","nsp9_ssRNA_binding_protein_pp1a_pp1ab","nsp10_GFL_pp1a_pp1ab","nsp11_pp1a","nsp12_RdRp_pp1ab_YP_009725307.","nsp13_helicase_pp1ab","nsp14_3","nsp15_endoRNAse_pp1ab","nsp16_2","S_protein","ORF3a","E_protein","M_protein","ORF6","ORF7a","ORF7b","ORF8","N_protein","ORF10","X3_UTR","orf1a"
"COVHA-20200311-P1-D08-P",0.0208821676019974,0.0189592950160457,0.0206658804759116,0.0224235953033851,0.0211480873833075,0.0208618105423808,0.0207190731699418,0.0215381373784491,0.0213035012273387,0.0213748455415195,0.0210075316986118,0.0207282563996589,0.0208626383481725,0.0223013707260965,0.0222168770023654,0.0225831480851993,0.022888499336132,0.022419177010552,0.0223076493323274,0.0234561331194501,0.0219217984142476,0.0221973947764385,0.0232882187790322,0.0250609733665298,0.0235470691631175,0.0187616504360031,0.0201684902620352,0.0207966154082134,0.0213896296807486
"COVHA-20200311-P1-E08-P",0.00681940913563247,0.00661446361045617,0.00770071888834599,0.00814035536729004,0.00792543484426051,0.00781989188773921,0.00813155733691632,0.00779410488301367,0.00772540249495644,0.00803719037605768,0.00767930798770428,0.00742991155419371,0.00744270270297516,0.00785213007196594,0.00784001767347645,0.00790226673056621,0.0081828175013114,0.00805365116483303,0.0078088127451459,0.00841511559782085,0.00769488948580662,0.00774481454996507,0.00817454049097434,0.00851231269894324,0.0077915706432909,0.00673256014059676,0.00679238767170331,0.00698250187690443,0.00788050330081412
"COVHA-20200311-P1-G01-P",1.10973653135436e-05,9.8326102456143e-06,9.1194137071885e-06,1.06599823889295e-05,9.65154662106648e-06,7.81853110522624e-06,9.17043459091252e-06,9.2469030632733e-06,7.92558096522757e-06,8.48240730938341e-06,1.00543620380789e-05,8.07554067815492e-06,8.13669825889779e-06,8.71085799791057e-06,9.28511394931906e-06,8.74510249310023e-06,8.64263948559345e-06,7.7171965725307e-06,8.35503040778085e-06,8.40248839459099e-06,9.20543698574666e-06,7.83956684554268e-06,8.62226750353601e-06,9.22995832379244e-06,8.10215318193161e-06,7.5864792605232e-06,8.23943917719886e-06,7.49047535749132e-06,9.6735169267533e-06
"COVHA-20200312-P2-B04-P",0.000113526568160617,0.000134321631867331,0.000125693819959275,0.000132432664474562,0.000125818010661368,0.000126027559403021,0.000131170460938596,0.000130553733079774,0.000130180133820968,0.000133502146008005,0.000136246420069152,0.000137698321819821,0.000139115938373367,0.000133723914445836,0.000136707889988214,0.000143165187176631,0.000141785437580403,0.000141499328919321,0.000139156554647184,0.000151432556206428,0.000129335345949402,0.000125287892364876,0.000115208915789117,9.92384171551017e-05,8.8815031546698e-05,9.74378673748679e-05,0.000106664913696129,0.000119959403859525,0.000130254505335969
"COVHA-20200312-P2-C01-P",0.0169198350816894,0.0154012025562033,0.0158546452278412,0.0174564663111332,0.01725841309046,0.0171534872075164,0.0164137896240522,0.0169202966795186,0.0171162951243651,0.0171327936460968,0.0172102761425081,0.0166265719523082,0.0166581255337008,0.0183675262642208,0.0185419989103536,0.0187322091431307,0.0185085900494439,0.0185058705833724,0.0180282228900654,0.0183223535341828,0.0170681743599941,0.01709853082162,0.0182859016322653,0.0189803291913732,0.018258035008195,0.015317494999995,0.0161539578616273,0.0167823168733429,0.0169236022495366
"COVHA-20200312-P2-C03-P",0.000773897954776413,0.00121562905662409,0.00119448762481484,0.000934027357059142,0.000960037097851756,0.00107322768194029,0.00115004453132562,0.00102229998815456,0.00113087516780814,0.0012437398123894,0.00138569173989012,0.0014464880854025,0.00143587522106797,0.00111820829335427,0.00105830682584316,0.000908342942550091,0.000799192425053736,0.000859544864221096,0.000870694831507726,0.000935211040700762,0.000859988204933734,0.00069409202015814,0.000660830209397024,0.00061899635397008,0.000633716984433114,0.000952100025187736,0.000788075489562623,0.00072165699153144,0.00106537698098774
"COVHA-20200312-P2-D02-P",0.000462286020784375,0.000487542556161094,0.000628765425180848,0.000642558550260627,0.00070617897626045,0.000701328208483149,0.000759026620150861,0.000665714329687452,0.000644504297744937,0.000686117300912223,0.000675997725315091,0.000648251949138726,0.000622997463150298,0.000784300815942395,0.000716205489660152,0.000719206710170786,0.000751217384996571,0.000739086398237083,0.000794492927668086,0.000991352806733895,0.000916410645234127,0.000666605143810805,0.000686451662832328,0.000679940263186043,0.000638398228493786,0.000623290150406541,0.00068557507501584,0.00068051527613507,0.000654420607222137
"COVHA-20200312-P2-H03-P",0.00366358936205519,0.00342747150404125,0.00366503384465563,0.00406306952942478,0.00423471708455058,0.00379793205701244,0.00398880658416148,0.00394309888421852,0.00379724121050193,0.00390379538200781,0.00394711135125261,0.00394921547847855,0.0039480268038682,0.00413769253237297,0.00420295260084776,0.0042651025050764,0.00459150711312305,0.00426720178887178,0.00424423465153232,0.00400512354638711,0.00385707809702785,0.00395583575178325,0.00418688197006054,0.00445008366531726,0.00399919708948023,0.00338229597095948,0.00353252520854177,0.00363750153815607,0.00393111984092457
"COVHA-20200312-P3-A06-N",0.000805001837838317,0.000714467151917099,0.000792440751295083,0.000851116382923024,0.000909905169065357,0.000695467294326407,0.000781744917324723,0.000829400186624446,0.000702860909457785,0.000850976991360723,0.000788253259827005,0.000695738889194885,0.000707532717627696,0.000832997660653606,0.00087048410332912,0.000943859785343039,0.000979743876637481,0.000970758821219331,0.000980296724375097,0.000928827027171911,0.000962750940264417,0.000949071512190018,0.000886376109337082,0.000968883781208878,0.000897872899285297,0.000754651755906859,0.000870828117820577,0.000900235886621482,0.000810083092421718
"COVHA-20200312-P3-B04-N",0.00725804161720394,0.00537906175554823,0.00561387700072603,0.00608609729834606,0.00616817999550866,0.00570493744536503,0.00571733653620689,0.00584902666001266,0.00575647113408865,0.00581999855580175,0.00578143265106308,0.00579685777261127,0.00583898107800019,0.00607269244233454,0.00618349356148807,0.0061649978532707,0.00662456218842708,0.0065357302999644,0.00695722375425742,0.00693754505482342,0.00734019836276398,0.00752458079247084,0.00815319512142291,0.00848665210558915,0.0084792505400278,0.00830997337732717,0.00941109638410868,0.00934535555870412,0.00587429572077622
