"ID","Country","Region","Date"
"hCoV-19/USA/WA-S88/2020|EPI_ISL_417141|2020-03-01","USA","WA-S88","2020-03-01"
"hCoV-19/USA/NY_2929/2020|EPI_ISL_420793|2020-03-02","USA","NY_2929","2020-03-02"
"hCoV-19/USA/WA-S89/2020|EPI_ISL_417142|2020-02-29","USA","WA-S89","2020-02-29"
"hCoV-19/USA/NH_0008/2020|EPI_ISL_420792|2020-03-02","USA","NH_0008","2020-03-02"
"hCoV-19/USA/RI_0556/2020|EPI_ISL_420795|2020-03-01","USA","RI_0556","2020-03-01"
"hCoV-19/USA/WA-S87/2020|EPI_ISL_417140|2020-03-01","USA","WA-S87","2020-03-01"
"hCoV-19/USA/OR_5430/2020|EPI_ISL_420794|2020-03-01","USA","OR_5430","2020-03-01"
"hCoV-19/USA/WA-S92/2020|EPI_ISL_417145|2020-02-29","USA","WA-S92","2020-02-29"
"hCoV-19/USA/WA-S93/2020|EPI_ISL_417146|2020-02-29","USA","WA-S93","2020-02-29"
"hCoV-19/USA/WA-S90/2020|EPI_ISL_417143|2020-02-29","USA","WA-S90","2020-02-29"
"hCoV-19/USA/NH_0004/2020|EPI_ISL_420791|2020-02-29","USA","NH_0004","2020-02-29"
"hCoV-19/USA/WA-S91/2020|EPI_ISL_417144|2020-03-02","USA","WA-S91","2020-03-02"
"hCoV-19/USA/IL_1293/2020|EPI_ISL_420790|2020-03-01","USA","IL_1293","2020-03-01"
"hCoV-19/USA/WA-S96/2020|EPI_ISL_417149|2020-02-28","USA","WA-S96","2020-02-28"
"hCoV-19/USA/WA-S94/2020|EPI_ISL_417147|2020-02-28","USA","WA-S94","2020-02-28"
"hCoV-19/USA/WA-S95/2020|EPI_ISL_417148|2020-02-28","USA","WA-S95","2020-02-28"
"hCoV-19/USA/IL_1375/2020|EPI_ISL_420789|2020-03-01","USA","IL_1375","2020-03-01"
"hCoV-19/USA/GA_1320/2020|EPI_ISL_420786|2020-03-03","USA","GA_1320","2020-03-03"
"hCoV-19/USA/FL_6318/2020|EPI_ISL_420785|2020-03-02","USA","FL_6318","2020-03-02"
"hCoV-19/USA/GA_1445/2020|EPI_ISL_420788|2020-03-04","USA","GA_1445","2020-03-04"
