	SNV_count	SNP_count	both	snp	snv	both	
Artic_nCoV-2019_1_LEFT	1	0	1	32	68	9	263
Artic_nCoV-2019_1_RIGHT	2	0	2	32	67	9	
Artic_nCoV-2019_10_LEFT	2	1	3	240	204	263	
Artic_nCoV-2019_10_RIGHT	1	0	1				
Artic_nCoV-2019_11_LEFT	4	4	8				
Artic_nCoV-2019_11_RIGHT	4	1	5				
Artic_nCoV-2019_12_LEFT	1	3	4				
Artic_nCoV-2019_12_RIGHT	3	3	6				
Artic_nCoV-2019_13_LEFT	3	6	9				
Artic_nCoV-2019_13_RIGHT	4	3	7				
Artic_nCoV-2019_14_LEFT	1	2	3				
Artic_nCoV-2019_14_LEFT_alt4	2	4	6				
Artic_nCoV-2019_14_RIGHT	5	3	8				
Artic_nCoV-2019_14_RIGHT_alt2	3	1	4				
Artic_nCoV-2019_15_LEFT	1	4	5				
Artic_nCoV-2019_15_LEFT_alt1	1	4	5				
Artic_nCoV-2019_15_RIGHT	1	3	4				
Artic_nCoV-2019_15_RIGHT_alt3	2	4	6				
Artic_nCoV-2019_16_LEFT	4	4	8				
Artic_nCoV-2019_16_RIGHT	4	4	8				
Artic_nCoV-2019_17_LEFT	3	4	7				
Artic_nCoV-2019_17_RIGHT	6	0	6				
Artic_nCoV-2019_18_LEFT	1	4	5				
Artic_nCoV-2019_18_LEFT_alt2	1	0	1				
Artic_nCoV-2019_18_RIGHT	3	3	6				
Artic_nCoV-2019_18_RIGHT_alt1	3	3	6				
Artic_nCoV-2019_19_LEFT	5	4	9				
Artic_nCoV-2019_19_RIGHT	3	4	7				
Artic_nCoV-2019_2_LEFT	0	0	0				
Artic_nCoV-2019_2_RIGHT	2	0	2				
Artic_nCoV-2019_20_LEFT	2	4	6				
Artic_nCoV-2019_20_RIGHT	0	4	4				
Artic_nCoV-2019_21_LEFT	3	2	5				
Artic_nCoV-2019_21_LEFT_alt2	3	2	5				
Artic_nCoV-2019_21_RIGHT	1	3	4				
Artic_nCoV-2019_21_RIGHT_alt0	1	3	4				
Artic_nCoV-2019_22_LEFT	3	3	6				
Artic_nCoV-2019_22_RIGHT	2	1	3				
Artic_nCoV-2019_23_LEFT	4	3	7				
Artic_nCoV-2019_23_RIGHT	4	5	9				
Artic_nCoV-2019_24_LEFT	1	6	7				
Artic_nCoV-2019_24_RIGHT	6	4	10				
Artic_nCoV-2019_25_LEFT	0	3	3				
Artic_nCoV-2019_25_RIGHT	1	3	4				
Artic_nCoV-2019_26_LEFT	1	1	2				
Artic_nCoV-2019_26_RIGHT	0	2	2				
Artic_nCoV-2019_27_LEFT	4	1	5				
Artic_nCoV-2019_27_RIGHT	2	6	8				
Artic_nCoV-2019_28_LEFT	4	2	6				
Artic_nCoV-2019_28_RIGHT	1	0	1				
Artic_nCoV-2019_29_LEFT	1	0	1				
Artic_nCoV-2019_29_RIGHT	2	4	6				
Artic_nCoV-2019_3_LEFT	4	0	4				
Artic_nCoV-2019_3_RIGHT	1	1	2				
Artic_nCoV-2019_30_LEFT	0	0	0				
Artic_nCoV-2019_30_RIGHT	0	2	2				
